logs/depth.did.Reb1.500K.log.err-1:real	0m29.621s
logs/depth.did.Reb1.500K.log.err-909:real	0m26.179s
logs/depth.did.Reb1.500K.log.err-91:real	0m30.226s
logs/depth.did.Reb1.500K.log.err-910:real	0m27.075s
logs/depth.did.Reb1.500K.log.err-911:real	0m30.391s
logs/depth.did.Reb1.500K.log.err-912:real	0m26.763s
logs/depth.did.Reb1.500K.log.err-913:real	0m28.018s
logs/depth.did.Reb1.500K.log.err-914:real	0m30.119s
logs/depth.did.Reb1.500K.log.err-915:real	0m31.974s
logs/depth.did.Reb1.500K.log.err-916:real	0m26.098s
logs/depth.did.Reb1.500K.log.err-917:real	0m31.651s
logs/depth.did.Reb1.500K.log.err-918:real	0m29.575s
logs/depth.did.Reb1.500K.log.err-919:real	0m31.402s
logs/depth.did.Reb1.500K.log.err-92:real	0m26.874s
logs/depth.did.Reb1.500K.log.err-920:real	0m26.067s
logs/depth.did.Reb1.500K.log.err-921:real	0m30.220s
logs/depth.did.Reb1.500K.log.err-922:real	0m28.602s
logs/depth.did.Reb1.500K.log.err-923:real	0m26.682s
logs/depth.did.Reb1.500K.log.err-924:real	0m30.155s
logs/depth.did.Reb1.500K.log.err-925:real	0m26.304s
logs/depth.did.Reb1.500K.log.err-926:real	0m30.141s
logs/depth.did.Reb1.500K.log.err-927:real	0m26.818s
logs/depth.did.Reb1.500K.log.err-928:real	0m30.039s
logs/depth.did.Reb1.500K.log.err-929:real	0m26.172s
logs/depth.did.Reb1.500K.log.err-93:real	0m28.745s
logs/depth.did.Reb1.500K.log.err-930:real	0m26.616s
logs/depth.did.Reb1.500K.log.err-931:real	0m26.163s
logs/depth.did.Reb1.500K.log.err-932:real	0m26.728s
logs/depth.did.Reb1.500K.log.err-933:real	0m30.477s
logs/depth.did.Reb1.500K.log.err-934:real	0m26.635s
logs/depth.did.Reb1.500K.log.err-935:real	0m26.767s
logs/depth.did.Reb1.500K.log.err-936:real	0m31.132s
logs/depth.did.Reb1.500K.log.err-937:real	0m26.898s
logs/depth.did.Reb1.500K.log.err-938:real	0m26.862s
logs/depth.did.Reb1.500K.log.err-939:real	0m30.163s
logs/depth.did.Reb1.500K.log.err-94:real	0m29.824s
logs/depth.did.Reb1.500K.log.err-940:real	0m26.889s
logs/depth.did.Reb1.500K.log.err-941:real	0m26.157s
logs/depth.did.Reb1.500K.log.err-942:real	0m30.104s
logs/depth.did.Reb1.500K.log.err-943:real	0m28.884s
logs/depth.did.Reb1.500K.log.err-944:real	0m25.945s
logs/depth.did.Reb1.500K.log.err-945:real	0m26.884s
logs/depth.did.Reb1.500K.log.err-946:real	0m30.259s
logs/depth.did.Reb1.500K.log.err-947:real	0m26.042s
logs/depth.did.Reb1.500K.log.err-948:real	0m30.140s
logs/depth.did.Reb1.500K.log.err-949:real	0m26.462s
logs/depth.did.Reb1.500K.log.err-95:real	0m29.632s
logs/depth.did.Reb1.500K.log.err-950:real	0m30.128s
logs/depth.did.Reb1.500K.log.err-951:real	0m26.625s
logs/depth.did.Reb1.500K.log.err-952:real	0m26.863s
logs/depth.did.Reb1.500K.log.err-953:real	0m26.262s
logs/depth.did.Reb1.500K.log.err-954:real	0m26.458s
logs/depth.did.Reb1.500K.log.err-955:real	0m30.136s
logs/depth.did.Reb1.500K.log.err-956:real	0m26.741s
logs/depth.did.Reb1.500K.log.err-957:real	0m26.711s
logs/depth.did.Reb1.500K.log.err-958:real	0m30.067s
logs/depth.did.Reb1.500K.log.err-959:real	0m26.773s
logs/depth.did.Reb1.500K.log.err-96:real	0m30.049s
logs/depth.did.Reb1.500K.log.err-960:real	0m26.766s
logs/depth.did.Reb1.500K.log.err-961:real	0m26.265s
logs/depth.did.Reb1.500K.log.err-962:real	0m26.549s
logs/depth.did.Reb1.500K.log.err-963:real	0m29.907s
logs/depth.did.Reb1.500K.log.err-964:real	0m26.627s
logs/depth.did.Reb1.500K.log.err-965:real	0m26.029s
logs/depth.did.Reb1.500K.log.err-966:real	0m29.978s
logs/depth.did.Reb1.500K.log.err-967:real	0m28.528s
logs/depth.did.Reb1.500K.log.err-968:real	0m25.953s
logs/depth.did.Reb1.500K.log.err-969:real	0m26.899s
logs/depth.did.Reb1.500K.log.err-97:real	0m30.169s
logs/depth.did.Reb1.500K.log.err-970:real	0m30.133s
logs/depth.did.Reb1.500K.log.err-971:real	0m26.091s
logs/depth.did.Reb1.500K.log.err-972:real	0m30.204s
logs/depth.did.Reb1.500K.log.err-973:real	0m26.714s
logs/depth.did.Reb1.500K.log.err-974:real	0m30.010s
logs/depth.did.Reb1.500K.log.err-975:real	0m26.284s
logs/depth.did.Reb1.500K.log.err-976:real	0m26.585s
logs/depth.did.Reb1.500K.log.err-977:real	0m26.852s
logs/depth.did.Reb1.500K.log.err-978:real	0m26.646s
logs/depth.did.Reb1.500K.log.err-979:real	0m30.028s
logs/depth.did.Reb1.500K.log.err-98:real	0m26.729s
logs/depth.did.Reb1.500K.log.err-980:real	0m26.309s
logs/depth.did.Reb1.500K.log.err-981:real	0m30.090s
logs/depth.did.Reb1.500K.log.err-982:real	0m28.839s
logs/depth.did.Reb1.500K.log.err-983:real	0m26.180s
logs/depth.did.Reb1.500K.log.err-984:real	0m26.854s
logs/depth.did.Reb1.500K.log.err-985:real	0m30.095s
logs/depth.did.Reb1.500K.log.err-986:real	0m26.266s
logs/depth.did.Reb1.500K.log.err-987:real	0m29.884s
logs/depth.did.Reb1.500K.log.err-988:real	0m26.630s
logs/depth.did.Reb1.500K.log.err-989:real	0m30.227s
logs/depth.did.Reb1.500K.log.err-99:real	0m30.660s
logs/depth.did.Reb1.500K.log.err-990:real	0m26.048s
logs/depth.did.Reb1.500K.log.err-991:real	0m26.440s
logs/depth.did.Reb1.500K.log.err-992:real	0m26.356s
logs/depth.did.Reb1.500K.log.err-993:real	0m26.611s
logs/depth.did.Reb1.500K.log.err-994:real	0m30.227s
logs/depth.did.Reb1.500K.log.err-995:real	0m26.625s
logs/depth.did.Reb1.500K.log.err-996:real	0m27.007s
logs/depth.did.Reb1.500K.log.err-997:real	0m29.866s
logs/depth.did.Reb1.500K.log.err-998:real	0m26.896s
logs/depth.did.Reb1.500K.log.err-999:real	0m26.827s
