logs/depth.did.Rap1.4M.log.err-1:real	0m43.912s
logs/depth.did.Rap1.4M.log.err-909:real	0m39.451s
logs/depth.did.Rap1.4M.log.err-91:real	0m40.724s
logs/depth.did.Rap1.4M.log.err-910:real	0m44.946s
logs/depth.did.Rap1.4M.log.err-911:real	0m44.893s
logs/depth.did.Rap1.4M.log.err-912:real	0m38.899s
logs/depth.did.Rap1.4M.log.err-913:real	0m39.249s
logs/depth.did.Rap1.4M.log.err-914:real	0m40.156s
logs/depth.did.Rap1.4M.log.err-915:real	0m39.926s
logs/depth.did.Rap1.4M.log.err-916:real	0m39.407s
logs/depth.did.Rap1.4M.log.err-917:real	0m40.667s
logs/depth.did.Rap1.4M.log.err-918:real	0m44.901s
logs/depth.did.Rap1.4M.log.err-919:real	0m40.985s
logs/depth.did.Rap1.4M.log.err-92:real	0m44.402s
logs/depth.did.Rap1.4M.log.err-920:real	0m44.657s
logs/depth.did.Rap1.4M.log.err-921:real	0m44.856s
logs/depth.did.Rap1.4M.log.err-922:real	0m39.066s
logs/depth.did.Rap1.4M.log.err-923:real	0m42.004s
logs/depth.did.Rap1.4M.log.err-924:real	0m45.342s
logs/depth.did.Rap1.4M.log.err-925:real	0m47.323s
logs/depth.did.Rap1.4M.log.err-926:real	0m45.104s
logs/depth.did.Rap1.4M.log.err-927:real	0m44.918s
logs/depth.did.Rap1.4M.log.err-928:real	0m41.324s
logs/depth.did.Rap1.4M.log.err-929:real	0m38.860s
logs/depth.did.Rap1.4M.log.err-93:real	0m44.598s
logs/depth.did.Rap1.4M.log.err-930:real	0m43.978s
logs/depth.did.Rap1.4M.log.err-931:real	0m45.816s
logs/depth.did.Rap1.4M.log.err-932:real	0m39.412s
logs/depth.did.Rap1.4M.log.err-933:real	0m44.841s
logs/depth.did.Rap1.4M.log.err-934:real	0m39.111s
logs/depth.did.Rap1.4M.log.err-935:real	0m44.881s
logs/depth.did.Rap1.4M.log.err-936:real	0m44.926s
logs/depth.did.Rap1.4M.log.err-937:real	0m39.402s
logs/depth.did.Rap1.4M.log.err-938:real	0m39.156s
logs/depth.did.Rap1.4M.log.err-939:real	0m39.100s
logs/depth.did.Rap1.4M.log.err-94:real	0m38.637s
logs/depth.did.Rap1.4M.log.err-940:real	0m39.177s
logs/depth.did.Rap1.4M.log.err-941:real	0m39.665s
logs/depth.did.Rap1.4M.log.err-942:real	0m44.842s
logs/depth.did.Rap1.4M.log.err-943:real	0m41.256s
logs/depth.did.Rap1.4M.log.err-944:real	0m44.736s
logs/depth.did.Rap1.4M.log.err-945:real	0m45.539s
logs/depth.did.Rap1.4M.log.err-946:real	0m38.827s
logs/depth.did.Rap1.4M.log.err-947:real	0m41.524s
logs/depth.did.Rap1.4M.log.err-948:real	0m45.308s
logs/depth.did.Rap1.4M.log.err-949:real	0m45.910s
logs/depth.did.Rap1.4M.log.err-95:real	0m45.132s
logs/depth.did.Rap1.4M.log.err-950:real	0m45.141s
logs/depth.did.Rap1.4M.log.err-951:real	0m45.324s
logs/depth.did.Rap1.4M.log.err-952:real	0m41.202s
logs/depth.did.Rap1.4M.log.err-953:real	0m39.520s
logs/depth.did.Rap1.4M.log.err-954:real	0m44.145s
logs/depth.did.Rap1.4M.log.err-955:real	0m46.107s
logs/depth.did.Rap1.4M.log.err-956:real	0m39.069s
logs/depth.did.Rap1.4M.log.err-957:real	0m45.005s
logs/depth.did.Rap1.4M.log.err-958:real	0m39.010s
logs/depth.did.Rap1.4M.log.err-959:real	0m45.643s
logs/depth.did.Rap1.4M.log.err-96:real	0m38.929s
logs/depth.did.Rap1.4M.log.err-960:real	0m45.093s
logs/depth.did.Rap1.4M.log.err-961:real	0m39.265s
logs/depth.did.Rap1.4M.log.err-962:real	0m40.006s
logs/depth.did.Rap1.4M.log.err-963:real	0m39.277s
logs/depth.did.Rap1.4M.log.err-964:real	0m39.297s
logs/depth.did.Rap1.4M.log.err-965:real	0m39.547s
logs/depth.did.Rap1.4M.log.err-966:real	0m44.918s
logs/depth.did.Rap1.4M.log.err-967:real	0m41.507s
logs/depth.did.Rap1.4M.log.err-968:real	0m44.975s
logs/depth.did.Rap1.4M.log.err-969:real	0m44.717s
logs/depth.did.Rap1.4M.log.err-97:real	0m38.784s
logs/depth.did.Rap1.4M.log.err-970:real	0m38.851s
logs/depth.did.Rap1.4M.log.err-971:real	0m41.296s
logs/depth.did.Rap1.4M.log.err-972:real	0m44.966s
logs/depth.did.Rap1.4M.log.err-973:real	0m46.289s
logs/depth.did.Rap1.4M.log.err-974:real	0m45.282s
logs/depth.did.Rap1.4M.log.err-975:real	0m45.074s
logs/depth.did.Rap1.4M.log.err-976:real	0m40.728s
logs/depth.did.Rap1.4M.log.err-977:real	0m38.975s
logs/depth.did.Rap1.4M.log.err-978:real	0m44.744s
logs/depth.did.Rap1.4M.log.err-979:real	0m46.073s
logs/depth.did.Rap1.4M.log.err-98:real	0m40.692s
logs/depth.did.Rap1.4M.log.err-980:real	0m39.367s
logs/depth.did.Rap1.4M.log.err-981:real	0m45.055s
logs/depth.did.Rap1.4M.log.err-982:real	0m39.151s
logs/depth.did.Rap1.4M.log.err-983:real	0m39.497s
logs/depth.did.Rap1.4M.log.err-984:real	0m39.703s
logs/depth.did.Rap1.4M.log.err-985:real	0m39.651s
logs/depth.did.Rap1.4M.log.err-986:real	0m44.950s
logs/depth.did.Rap1.4M.log.err-987:real	0m41.137s
logs/depth.did.Rap1.4M.log.err-988:real	0m44.935s
logs/depth.did.Rap1.4M.log.err-989:real	0m45.613s
logs/depth.did.Rap1.4M.log.err-99:real	0m41.529s
logs/depth.did.Rap1.4M.log.err-990:real	0m39.193s
logs/depth.did.Rap1.4M.log.err-991:real	0m41.361s
logs/depth.did.Rap1.4M.log.err-992:real	0m45.276s
logs/depth.did.Rap1.4M.log.err-993:real	0m44.939s
logs/depth.did.Rap1.4M.log.err-994:real	0m44.954s
logs/depth.did.Rap1.4M.log.err-995:real	0m40.296s
logs/depth.did.Rap1.4M.log.err-996:real	0m39.164s
logs/depth.did.Rap1.4M.log.err-997:real	0m39.974s
logs/depth.did.Rap1.4M.log.err-998:real	0m38.732s
logs/depth.did.Rap1.4M.log.err-999:real	0m44.873s
